,sentence,predicted_langugae,target_language
41,i crec novament que un altre pensador ens ajudarà amb això,Catalan,Catalan
42,i per cert el discurs que va donar era jo tinc un somni,Catalan,Catalan
43,et durables,French,French
44,perché é tanto importante walmart beh é grande,Italian,Italian
45,maintenant nous avons non seulement un pain à haute teneur en fibres,French,French
46,je vais juste vous montrer des images,French,French
47,skratt,Swedish,Swedish
48,ikke noget alvorligt,Danish,Danish
49,im sommer weiter von der sonne entfernt sind,German,German
50,comme le rappelle cette fameuse phrase de mahatma gandhi ,French,French
51,mycket vanligare,Swedish,Swedish
52,e seleccionar as caixas certas,Portuguese,Portuguese
53,men gælder det også i det virkelige liv,Danish,Danish
54,die laten zien hoe of waarom,Dutch,Dutch
55,o al menys no reconeix el seu propi èxit,Catalan,Catalan
56,inte borde klänga sig fast vid alla aspekter av sin kultur,Swedish,Swedish
57,então e se eu vivesse num deserto alimentar,Portuguese,Portuguese
58,devem ser deitadas borda fora,Portuguese,Portuguese
59,mais vous laissez une trace sur la personne à qui vous mentez,French,French
60,aber offenbar waren keine gehirne,German,German
61,o tenir un nombre,Catalan,Catalan
62,que descobrissin que no era el noi popular i perfecte de linstitut que tothom pensava que era,Catalan,Catalan
63,deixinme mostrarlos unes diapositives,Catalan,Catalan
64,du travail de la richesse,French,French
65,waarin de algen konden groeien,Dutch,Dutch
66,la seva capsa de frosted flakes,Catalan,Catalan
67,et le soleil du matin à new orléans filtrait à travers les rideaux,French,French
68,bg moltes gràcies niall nf moltes gràcies bruno,Catalan,Catalan
69,abbiamo sviluppato un modo efficace,Italian,Italian
70,über das wir wahrscheinlich reden sollten,German,German
71,och se vad killar skapade åt sig själva nu,Swedish,Swedish
72,en lespace de quelques semaines,French,French
73,ett mycket viktigt forskningsrön kom ut i fredags,Swedish,Swedish
74,de tog inte på mina bröst,Swedish,Swedish
75,es tracta duna societat europea amb arxius literaris,Catalan,Catalan
76,på stanford,Danish,Swedish
77,de sagde okay lad os tale om det her,Danish,Danish
78,nós queríamos envolvêlos vêlos lutar,Portuguese,Portuguese
79,tien jaar na die militaire interventie,Dutch,Dutch
80,per a passarla quan hi acabes a algú altre,Catalan,Catalan
81,de vill vara saknade den dagen de inte dyker upp,Swedish,Swedish
82,ihr gehirn weiß das nicht weil beide gleich wahrscheinlich sind,German,German
83,jeg kan hænge vasketøj op,Danish,Danish
84,jusquà à la fois et les portaient,French,French
85,qui aurait cru quune chaîne de supermarché ferait du profit en étant verte ,French,French
86,apesar de ser bem conhecido agora,Portuguese,Portuguese
87,danke,German,German
88,auch nicht dass ich vorzugsweise eine bindung mit ihnen eingehe,German,German
89,missstände in vorzüge,German,German
90,un tornavís un raspall de dents per netejar els capçalls de contacte,Catalan,Catalan
91,for at det er oversat med en computer,Danish,Danish
92,ja nou de vraag is welke soort informatie belangrijk is in de wereld,Dutch,Dutch
93,så vi tager denne her pizza vores allerførste pizza,Danish,Danish
94,des de temps prehistòrics,Catalan,Catalan
95,den andra myten är,Swedish,Swedish
96,se impedirem esse comportamento num grupo de controlo,Portuguese,Portuguese
97,en ik ben weg van het toepassen van technologie op nieuwe gebieden,Dutch,Dutch
98,og ens lunger og ens hjerne,Danish,Danish
99,jag kunde inte den gången heller men det är en fascinerande grupp de gör ballongdjur,Swedish,Swedish
100,ik wil dat jullie zien hoe deze zich hebben verplaatst,Dutch,Dutch
101,quelle était partie en chine pour gagner de largent,French,French
102,och en kultur kring att behandla blåmärken,Swedish,Swedish
103,chris emdin podem dizer amen,Catalan,Portuguese
104,ed è un posto molto stimolante,Italian,Italian
105,els vaig a contar una història que em fa molta vergonya,Catalan,Catalan
106,ich entschloss mich diese bewegung zu untersuchen,German,German
107,man starter med og så bliver de taget fra een,Danish,Danish
108,en ze zeggen dat alsof het zo hoort,Dutch,Dutch
109,a causa da resistência à insulina,Portuguese,Portuguese
110,decidimos dar às pessoas,Portuguese,Portuguese
111,mais experiência,Portuguese,Portuguese
112,donc vous avez pris toutes les substances protectrices,French,French
113,he de parar de pensar en cadascuna de les notes que hi ha pel camí,Catalan,Catalan
114,e enviasse sinais às células de saída de dados,Portuguese,Portuguese
115,det är vad de bryr sig om,Swedish,Swedish
116,sterblichkeit sterben jedes jahr,German,German
117,en kaffe date og man er komplet anderledes end det man sagde,Danish,Danish
118,dat wanneer kunststoffen worden gestort,Dutch,Dutch
119,e elas deverão sobreviver lá,Portuguese,Portuguese
120,at statens autoritet og legitimitet,Danish,Danish
121,a soar bem,Portuguese,Portuguese
122,je zet die samen in een groep gericht op spel,Dutch,Dutch
123,sempre in onda,Italian,Italian
124,fordi vi tror det vil være godt for hende,Danish,Danish
125,eller räknar baklänges från med sjusteg,Swedish,Swedish
126,eu sei que eles estão a pensar,Portuguese,Portuguese
127,ni de médicaments,Catalan,French
128,så behandler folk mig som om jeg er fortabt,Danish,Danish
129,had ik maar het leven van mijn dromen geleid,Dutch,Dutch
130,og gå ind i en best buy og gå rundt ,Danish,Danish
131,sortia per darrere tot just on devia estar la columna,Catalan,Catalan
132,und wieder nehmen wir einen,German,German
133,meno unarea grande più o meno come larizona,Italian,Italian
134,för det första tror jag,Swedish,Swedish
135,ik zet ze op rood,Dutch,Dutch
136,eine große rolle in allen alten zivilisationen,German,German
137,så hold det hellere for dig selv,Danish,Danish
138,om hem te bedanken voor zijn hulp,Dutch,Dutch
139,og de gode nyheder er,Danish,Danish
140,und jemand fragte mich nach catherine meiner frau wissen sie,German,German
141,och varje fall är unikt,Swedish,Swedish
142,bedenken sie wie anders amerika wäre,German,German
143,ik werd wel een redelijk scherpzinnige,Dutch,Dutch
144,repräsentiert die länge des satzes in ihm,German,German
145, lawrence darabie ,Dutch,French
146,la gent només havia aconseguit encertar una vegada la diana,Catalan,Catalan
147,duna certa mida,Catalan,Catalan
148,een heerlijk alternatief,Dutch,Dutch
149,drei planeten in unserem sonnensystem die ungefähr gleich groß sind,German,German
150,e nós convertemos essa informação nesta estrutura,Portuguese,Portuguese
151,com a pergunta errada,Catalan,Portuguese
152,regardez juste le dernier chiffre en bas ,French,French
153,att granska dem och ge dem feedback,Swedish,Swedish
154,et a été secouru après une semaine,French,French
155,gör att det känns som att stora viktiga problem,Swedish,Swedish
156,dans ce tableau que jai fait,French,French
157,men nu er nogle af dem i fare,Danish,Danish
158,séparant la gauche et la droite dans,French,French
159,i en andens overskrift,Danish,Danish
160,di solito si sono perse il futuro,Italian,Italian
161,tog nu endast fem minuter,Swedish,Swedish
162,portanto quando tinha seis anos,Portuguese,Portuguese
163,poi la vita portò una serie,Italian,Italian
164,auf erden halte,German,German
165,i den falske anmeldelse det første er at løgnere har en tendens til at tænke,Danish,Danish
166,risate,Italian,Italian
167,mijn plan is om drie versies,Dutch,Dutch
168,desde que certas condições sejam cumpridas,Portuguese,Portuguese
169,ecco come funziona,Italian,Italian
170,questi piccoli pezzi del tessuto,Italian,Italian
171,og det er usa,Danish,Danish
172,en raken ze hun chemische functies kwijt,Dutch,Dutch
173,e com demasiada frequência de sangue,Portuguese,Portuguese
174,een ongewone verbinding,Dutch,Dutch
175,lichtgolven in dit geval microgolflicht,Dutch,Dutch
176,qualcosa che stavo vendendo,Italian,Italian
177,stavano cambiando,Italian,Italian
178,om et agentur for finansiel beskyttelse af forbrugere,Danish,Danish
179,onde por pior que as coisas ficassem,Portuguese,Portuguese
180,va obrir el camí a masses disposades,Catalan,Catalan
181,beregning,Danish,Danish
182,e non sarò in grado di dire molto su questo,Italian,Italian
183,dessutom tog de bilderna bort,Swedish,Swedish
184,e la cosa va avanti da circa un anno e mezzo,Italian,Italian
185,jag lagar nästan aldrig mat med det,Swedish,Swedish
186,fumlandes med knapparna,Swedish,Swedish
187,scientifiques et ingénieurs sil vous plait,French,French
188,ohne die tumortherapiefelder,German,German
189,de er ting som tilhørte ofrene fra folkedrabet i bosnien,Danish,Danish
190,quil y avait là du contenu,French,French
191,och mest av allt en sorts normaliserad politisk skräck,Swedish,Swedish
192,het is een systeem dat is ontworpen om te reageren op de heersende weersomstandigheden,Dutch,Dutch
193,a les naturaleses mortes realistes,Catalan,Catalan
194,rótulos uns aos outros,Portuguese,Portuguese
195,de overgebleven spijt,Dutch,Dutch
196,então posso pegar nestes dados rearranjálos,Portuguese,Portuguese
197,var att jag själv inte var övertygad,Swedish,Swedish
198,i tothom assenyala aquella persona,Catalan,Catalan
199,porque o guia fundamental da ciência é,Portuguese,Portuguese
200,applaus,Dutch,German
201,vi har nummerplåtar på bilar idnummer på flygplan,Swedish,Swedish
202,in den dschungel zu folgen,German,German
203,soudain jai compris que la crise de mon corps,French,French
204,que a la vegada era,Catalan,Catalan
205,dezelfde religies die hun wijzen naar de eenzame bergtoppen sturen,Dutch,Dutch
206,jag kör sverige samma sextonårsperiod,Swedish,Swedish
207,aquesta és dun duo michael abernathy i bud holland,Catalan,Catalan
208,nummer fire pil maskiner fra hinanden,Danish,Danish
209,hvis du taler med dem og man sagde hvordan er dit social liv,Danish,Danish
210,contém a molécula moral,Portuguese,Portuguese
211,as taxas de participação andavam à volta dos ,Portuguese,Portuguese
212,og det viste sig at være mere end bare en historie om mig,Danish,Danish
213,vi har solgt i nærheden af millioner mobiltelefoner om måneden,Danish,Danish
214,in een wereld waarin,Dutch,Dutch
215,in heel de derde wereld kan worden toegepast,Dutch,Dutch
216,und zwei ballons für den richtigen sprung denn,German,German
217,in circostanze così serie e in certi casi per questioni di vita o di morte,Italian,Italian
218,dus besloten noam en ik,Dutch,Dutch
219,han er klog og veluddannet,Danish,Danish
220,wo wir das schwarze loch vermuten,German,German
221,perché più avanti sono stata a vienna,Italian,Italian
222,und die leute sagten was bist du ein hindu er sagte nein ich bin nichts,German,German
223,zu einer welt des big business entwickelt,German,German
224,dimecres,Portuguese,Catalan
225,et il y avait des neurochirurgiens,French,French
226,zu allem übel werden phtalate,German,German
227,sono talmente,Italian,Italian
228,que nous préparons est fermentée notre préferment,French,French
229,sítios nas nossas cidades,Portuguese,Portuguese
230,für mich sind couchsurfing und crowdsurfing,German,German
231,lachen,German,German
232,però són bones per això,Catalan,Catalan
233,havde jeg opnået en forbindelse med dem,Danish,Danish
234,isto mostranos que estas células,Portuguese,Portuguese
235,kunne vi lave en bedre verden,Danish,Danish
236, jahre später,German,German
237,som kunde göra hans presentation,Swedish,Swedish
238,lail et lhuile dolive,French,French
239,la bona notícia és que si hi afegim,Catalan,Catalan
240,i un salari mig de menys de dòlars,Catalan,Catalan
241,ma se non ci avessi creduto non ci avrei nemmeno provato,Italian,Italian
242,latter,Danish,Danish
243,dopo aver chiuso una tenda è stato servito del gelato alla vaniglia,Italian,Italian
244,nein das war nur ein scherz,German,German
245,mit oder ohne hilfe entdecken,German,German
246,ich meine fiese persönliche angriffe,German,German
247,et les gouvernements essayent sérieusement de lutter contre,French,French
248,lo scorso anno questo gruppo é stato in grado di rimuovere tutte le cellule di un cuore,Italian,Italian
249,jeg havde,Danish,Danish
250,per estensione pensiamo che se è più caldo in estate che in inverno,Italian,Italian
251,von materialien hervorzuheben,German,German
252,nous fournissons effectivement plus que deux fois plus,French,French
253,die versuchen sich zu teilen,German,German
254,så vill man se var dessa gener aktiveras,Swedish,Swedish
255,hur annars kan vi innovera,Swedish,Swedish
256,ett bättre samhälle,Swedish,Swedish
257,visto che è solo negli ultimi anni che,Italian,Italian
258,als nächstes wollen wir ihnen die uhr nachrichten,German,German
259,et braconnaient partout,French,French
260,rubbar väldigt mycket människor,Swedish,Swedish
261,parce quelle se détériore,French,French
262,talvez tenham sido aqueles tipos nos pagamentos que falsificaram os cheques,Portuguese,Portuguese
263,der dialog ging weiter und weiter mit mentalen bildern für worte und es stellte,German,German
264,poucas vezes reportados,Portuguese,Portuguese
265,inte riktigt,Swedish,Swedish
266,deitamse abaixo faz parte das suas brincadeiras,Portuguese,Portuguese
267,a confiança nas instituições democráticas,Portuguese,Portuguese
268,votre cerveau saméliore effectivement,French,French
269,comam um pouco,Portuguese,Portuguese
270,om at skabe en vision,Danish,Danish
271,che è tutto sommato unarea di lavoro nuova a cui mi sono dedicato di recente,Italian,Italian
272,ho farà durant setmanes,Catalan,Catalan
273,daniel arap moi,French,Catalan
274,på alla relevanta celler,Swedish,Swedish
275,i en construcció a singapur,Catalan,Catalan
276,jag skulle kunna lära den här ungen vad som helst,Swedish,Swedish
277,ceci est en grande partie vrai pour les humains aussi,French,French
278,el gerent de lempresa,Catalan,Catalan
279,é uma forma muito elegante,Portuguese,Portuguese
280,certains avaient laissé leurs femmes et leurs familles derrière eux,French,French
281,es ist zum nutzen der kinder,German,German
282,halve abrikozen,Dutch,Dutch
283,anche questa è una rete sociale,Italian,Italian
284,det väger väldigt mycket,Swedish,Swedish
285,för jag gjorde alla dessa lätta sakerna som leder till idéer,Swedish,Swedish
286,risos,Portuguese,Portuguese
287,het is een extreme verdraaiing van het systeem van vrijheid,Dutch,Dutch
288,een vrouw beschiet haar gezicht een vrouw beschiet haar man,Dutch,Dutch
289,confortante,Portuguese,Italian
290,inte fungerar alls lika bra på kvinnor,Swedish,Swedish
291,per ospitare per esempio i malati cronici,Italian,Italian
292,nosaltres no pensem així,Catalan,Catalan
293,til at lave et spil som ligner dette,Danish,Danish
294,og nu skulle hun se,Danish,Danish
295,han fick mig att känna mig smart han fick mig att känna att han var smart,Swedish,Swedish
296,de techniek,Dutch,Dutch
297,musique,French,French
298,e quindi quello a cui reagite o quello che vedete,Italian,Italian
299,är ganska lika,Swedish,Swedish
300,wir können auch eine weltkarte ansehen die uns die geografische reichweite,German,German
301,an ihrer wohnung macht,German,German
302,esta sala estaria muito cheia,Portuguese,Portuguese
303,det eneste jeg ville var at tage mine løbesko på og løbe ud af døren,Danish,Danish
304,några av deras bästa idéer genom det programmet,Swedish,Swedish
305,in einem bemerkenswerten tempo,German,German
306,ich musste einen ziehen abstellen dann zurückgehen und den anderen holen,German,German
307,systerdottern på axlarna,Swedish,Swedish
308,depén de la teua sort,Catalan,Catalan
309,är procent kopplade till byggnader,Swedish,Swedish
310,riure a riure,Catalan,Catalan
311,het wordt gedaan in sommige winkels en het moet over de hele lijn gedaan worden,Dutch,Dutch
312,il y a encore des petites boulangeries familiales,French,French
313,ich möchte mit ihnen über die geschichte,German,German
314,num traço do meu carácter,Portuguese,Portuguese
315,jeg havde lejlighed til at rejse rundt i limpopo provinsen i sydafrika,Danish,Danish
316,parfois ça nest pas tant lié à laddiction,French,French
317,og at kaste er en kombination af analytiske og fysiske færdigheder,Danish,Danish
318,e diz o seguinte,Portuguese,Portuguese
319,al torn de nit,Catalan,Catalan
320,començar a aprendre de la gent,Catalan,Catalan
321,unsere häuser zu isolieren,German,German
322,pas dans un avenir lointain,French,French
323,i vermell són els seus fills,Catalan,Catalan
324,em que os corais se instalaram,Portuguese,Portuguese
325,há uma vantagem de tempo,Portuguese,Portuguese
326,dat honderdduizenden christenen gaan bidden,Dutch,Dutch
327,poi alla fine vi visitano serve altro tempo,Italian,Italian
328,de renverser le capitalisme,French,French
329,hvor det ikke forårsagede andet end problemer og slap det løs tilbage hvor det kom fra,Danish,Danish
330,che avrebbe esplorato la verità e la bellezza,Italian,Italian
331,mais jai continué à rêver,French,French
332,die menschen sind sich nicht mehr ganz so gleich,German,German
333,als mannen delen in de zorg,Dutch,Dutch
334,vi ved for eksempel,Danish,Danish
335,vous le voyez dans ce portrait dalter ego réalisé par robbie cooper,French,French
336,construït el per brunelleschi,Catalan,Catalan
337,avant de rentrer chez vous et de vous brossez les dents,French,French
338,van tot ,Dutch,Dutch
339,og virkelighedens verden begynder at blive så stor,Danish,Danish
340,quindi signor gore grazie,Italian,Italian
341,pelo menos teria algum sentido de progresso,Portuguese,Portuguese
342,il était vraiment modeste et vraiment introverti,French,French
343,qui pose des questions,French,French
344,in hem onder hem boven hem gloeide het,Dutch,Dutch
345,que nunca encontrariamos alguém que,Portuguese,Portuguese
346, jahre alte liebesgeschichte,German,German
347,um die regeln für abkommenbasierte institutionen zu machen,German,German
348,essa é a nossa esperança,Portuguese,Portuguese
349,isto não está na world wide web está estou prestes a ser despedido ,Portuguese,Portuguese
350,què hem de fer al respecte,Catalan,Catalan
351,nous devons dire à nos filles et à nos collègues,French,French
352,op een doodgewone dag,Dutch,Dutch
353,at en del af den voksne del i mig nogle gange,Danish,Danish
354,har meget lave forekomster af de fleste kræftformer,Danish,Danish
355,est fois plus élevé que disons beverly hills,French,French
356,davanti a noi cera unenorme quantità di buche,Italian,Italian
357,in miami fuhr meine crew unseren bus,German,German
358,estic aquí,Catalan,Catalan
359,und unternehmensinvestitionen für ausrüstung,German,German
360,shark attack mitigation systems,Swedish,Portuguese
361,also tat ich es,German,German
362,i det här fallet är appen själva verket,Swedish,Swedish
363,em que tudo é estandardizado,Portuguese,Portuguese
364,são poluentes químicos,Portuguese,Portuguese
365,han aprovat la llei que no havien daprovar el que sigui,Catalan,Catalan
366,så måste vi bli oerhört aktiva som medborgare i vår demokrati,Swedish,Swedish
367,er der områder i hjernen der holder op med at bruge glukose,Danish,Danish
368,för er visar jag dessa två teer,Swedish,Swedish
369,e quase certamente,Portuguese,Portuguese
370,men igen spørgsmålet er,Danish,Danish
371,i una delles va ser esmentada ahir,Catalan,Catalan
372,en begon met geld inzamelen waar ik maar heenging,Dutch,Dutch
373,daugmenter notre participation,Danish,French
374,vi tænker på noget hvor man ser til siden,Danish,Danish
375,arton minuter uppenbarligen omöjligt,Swedish,Swedish
376,di una specie di servizio in outsourcing a pagamento e a scopo di lucro,Italian,Italian
377,il na pas été conçu pour le gâteau au chocolat,French,French
378,una lezione veramente preziosa,Italian,Italian
379,wollten wir dir die möglichkeit dazu geben,German,German
380,dessa personer har olika behov,Swedish,Swedish
381,usando la nanotecnologia,Catalan,Italian
382,zal je verschillende cirkels ontmoeten,Dutch,Dutch
383,gøre en raskere,Danish,Danish
384,och såg två barn som lekte med en pinne,Swedish,Swedish
385,que vau poder veure ahir a lescenari,Catalan,Catalan
386,hasste ich sie,German,German
387,så jag kan se allt som romo ser,Swedish,Swedish
388,mas não se trata apenas de cultivar,Portuguese,Portuguese
389,gebruiken om informatie uit te wisselen,Dutch,Dutch
390,cest bien ce que je pense,French,French
391,så vi vet att hon kommer att bli framgångsrik men vi måste hålla ögonen på henne,Swedish,Swedish
392,latter,Danish,Danish
393,parte delle mie tracce personali,Italian,Italian
394,nu ga ik de rest van de presentatie,Dutch,Dutch
395,ohne jeglichen schutz,German,German
396,que realment només tenia uns quants trucs a la màniga,Catalan,Catalan
397,waarin de smaak zich echt ontwikkelt,Dutch,Dutch
398,ursprüngen der sprache zurückgehen,German,German
399,in elke robot en drone zou een cryptografisch ondertekend,Dutch,Dutch
400,i quan comences a veure això,Catalan,Catalan
401,i les nacions com les persones,Catalan,Catalan
402,là il ny a plus quun seul objectif juste un ,French,French
403,så du kan börja läsa på sin ipad i vardagsrummet,Swedish,Swedish
404,bliver jeg nødt til at give en meget hurtig lektion om videnskaben bag tale okay,Danish,Danish
405,in unsichtbarkeit gestellt,German,German
406,aber kognitiv waren sie sehr agil,German,German
407,que lorsque un pays se modernise,French,French
408,i goma de larbre del cautxú,Catalan,Catalan
409,und sie taten dies indem sie,German,German
410,che stanno facendo questo,Italian,Italian
411,na sua comunidade,Portuguese,Portuguese
412,så är det,Swedish,Swedish
413,els cervells de la gent mentre fan aquest judici,Catalan,Catalan
414,levento di oggi si potrebbe chiamare come le montagne insegnano,Italian,Italian
415,så han stillede spørgsmålet hvor mange udfører vi,Danish,Danish
416,ça commençait à se briser sérieusement,French,French
417,e outros coreógrafos,Portuguese,Portuguese
418,är att islam,Swedish,Swedish
419,terwijl die op de server zelf staan,Dutch,Dutch
420,depois da sua eleição em ,Portuguese,Portuguese
421,och de kom fram till en väldigt bra teknisk lösning,Swedish,Swedish
422,den er lavet af asfalt,Danish,Danish
423,finalement nous voulions voir,French,French
424,det rör sig hit bort,Swedish,Swedish
425,é onde encontramos,Portuguese,Portuguese
426,så fattige lande er i det store og det hele lavt liggende i troværdighed,Danish,Danish
427,är det väldigt praktiskt eftersom den visuella informationen i logotypen,Swedish,Swedish
428,und sie sehen es hier von bis    ,German,German
429,és el teu pitjor malson,Catalan,Catalan
430,wenn man also fettleibig ohne insulinresistenz,German,German
431,mens de er på vej herop bør jeg fortælle jer,Danish,Danish
432,i løbet af de senest år har politologer observeret,Danish,Danish
433,av dagliga förhandlingar,Swedish,Swedish
434,encorajem todas as vossas escolas,Portuguese,Portuguese
435,vaste hand hadden,Dutch,Dutch
436,die nächste große erkenntnis,German,German
437,die de crisis veroorzaken dit is bolivië,Dutch,Dutch
438,eller medicin,Swedish,Danish
439,i ja sabeu si ho veiem daquesta manera tot comença a canviar,Catalan,Catalan
440,bis ans ende unserer tage leben,German,German
441,jag sade om ni istället skapar visa mitt saldo,Swedish,Swedish
442,voor mij is dat het echte wonder der natuur,Dutch,Dutch
443,unter denen die mir halfen meine augen,German,German
444,di reti sociali come organismi viventi,Italian,Italian
445,la tecnologia disponibile,Italian,Italian
446,deelnemen aan het maatschappelijk leven,Dutch,Dutch
447,speicherkapazität ohne batterien,German,German
448,temos aqui três conjuntos de,Portuguese,Portuguese
449,wenn sie den ganzen weg zur gründung gehen,German,German
450,die afstierven door de ziekte,Dutch,Dutch
451,læg mærke til leret på hendes skosåler,Danish,Danish
452,was ist so besonders an brot,German,German
453,e vedrete questa cosa straordinaria,Italian,Italian
454,risate,Italian,Italian
455,ze staken er meer moeite in,Dutch,Dutch
456,où je nai pas de portraits vides,French,French
457,a un veí amic o parent que coneguin,Catalan,Catalan
458,ouvi histórias,Portuguese,Portuguese
459,zal het virtuele koor met ons meedoen,Dutch,Dutch
460,het is ook de eerste letter,Dutch,Dutch
461,i veig això tot el temps,Catalan,Catalan
462,und erzähle den leuten,German,German
463,e un robot che può arrampicarsi sulle strutture,Italian,Italian
464,men jag lovar att den inte är fullständig,Swedish,Swedish
465,of een droevig woord,Dutch,Dutch
466,però per tal que aquestes coses ens ajudin a sobreviure,Catalan,Catalan
467,und was ein unternehmen,German,German
468,er zijn geen nonverbale aanwijzingen,Dutch,Dutch
469,è un sito web dove noi,Italian,Italian
470, cette fois cest lamour ,French,French
471,ça peut être dans lenvironnement,French,French
472,facto doenças ligadas à alimentação são a principal causa de morte,Portuguese,Portuguese
473,rialles,Catalan,Catalan
474,nel mondo oggi,Italian,Italian
475,det var ett gäng vänner,Swedish,Swedish
476,jeden morgen,German,German
477,het is heel simpel om mee te werken,Dutch,Dutch
478,misundelse det er virkelig tabu at nævne misundelse,Danish,Danish
479,und sie hält millionen von menschen,German,German
480,e occidentali,Italian,Italian
481,fru obama til at gøre de ting hun har lyst til at gøre,Danish,Danish
482,onder het bed ligt het niet goed verborgen,Dutch,Dutch
483,todos nós sabemos isto quando estamos mesmo muito stressados,Portuguese,Portuguese
484,utnyttjade välfärdssystemet,Swedish,Swedish
485,apesar do pib iper capitai,Portuguese,Portuguese
486,ne ho abbastanza di paesi felici,Italian,Italian
487,und deshalb hören die leute ihm zu,German,German
488,men seks er meget forskelligt fra ni,Danish,Danish
489,e se olharem para um sujeito chamado dennis,Portuguese,Portuguese
490,dass sie richtig lag,German,German
491,och ger mig en tiodollarssedel,Swedish,Swedish
492,oh segur que quan torni a casa llogaré un mico caputxí com assessor financer,Catalan,Catalan
493,in einem anderen teil ghanas,German,German
494,i burundi gik jeg ind i et fængsel og det var ikke,Danish,Danish
495,om het bouwen van nieuwe gevangenissen,Dutch,Dutch
496,skulle ni bokstavligt talat sluta höra det,Swedish,Swedish
497,og vi spurgte denne kvinde ,Danish,Danish
498,for at sætte en teknologisk milepæl,Danish,Danish
499,ich bin nicht teil dieser gruppe muss ich sagen,German,German
500,mördare är kända för att läcka sorg,Swedish,Swedish
501,podem pensar en el futur,Catalan,Catalan
502,on sen inquiète beaucoup,French,French
503,questa piuma di germano reale,Italian,Italian
504,risos,Portuguese,Portuguese
505,und dann erschaffen wir klischees,German,German
506,je hebt een prijs gewonnen echt waar,Dutch,Dutch
507,da hun sagde det fik jeg en åbenbaring,Danish,Danish
508,quelquesuns en provenance du nigeria,French,French
509,das alles stammt von leuten im labor,German,German
510,et accidentés depuis sa création,French,French
511,comment on peut traverser la rivière,French,French
512,sebastian leder en annan kurs just nu,Swedish,Swedish
513,mais encore pire,Portuguese,French
514,en er op hun ste spijt van hebben gekregen,Dutch,Dutch
515,scheuklappen abnehmen würde,German,German
516,avec une résolution dun demipouce moins de cm,French,French
517, så får man naturens former,Danish,Danish
518,og til slut talte vi om tabsaversion,Danish,Danish
519,ser més gran que un altre,Catalan,Catalan
520,gående fra det ene område til det andet,Danish,Danish
521,donc cest je ne veux ni nai le besoin de faire mieux,French,French
522,hvis man har et valg,Danish,Danish
523,che lauto sta nel mezzo di tutte le nostre relazioni,Italian,Italian
524,questa è la correttezza emotiva,Italian,Italian
525,vil mænd svare lidt for højt,Danish,Danish
526,und plötzlich standest du vor,German,German
527,de linkerkant van het gezichtsveld word groen belicht,Dutch,Dutch
528,eu sinto que a nossa civilização funciona quando isto,Portuguese,Portuguese
529,certaines personnes pensent que je suis cet intello de tony soprano,French,French
530,fjärrstyrda drönare,Swedish,Swedish
531,i petroli desquist bituminós és lequivalent aquí veiem algunes inversions,Catalan,Catalan
532,al numero cinque dei sette ce la ricompensa ll culmine,Italian,Italian
533,et il y a quelques autres créatures terrestres qui créent de la lumière,French,French
534,al nen se li proporciona tractament,Catalan,Catalan
535,per tot el seu campus a dubuque,Catalan,Catalan
536,og jeg har ikke løst til at se den gentaget ind i det næste århundrede,Danish,Danish
